"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"794","781","199903","2","202902","14484","0","1","2","63","25","100000","63","7.5","4","2","1","21","6","2100","794","1","360","2","299","10",NA,"35776.800364746"
"795","778","199903","2","202902","45300","0","1","2","55","31","47000","55","6.5","4","2","1","10","6","33700","795","3","360","1","299","10",NA,"6611.94995180338"
"796","758","199903","2","202902","12060","0","1","2","79","31","166000","79","6.75","4","2","1","11","6","30000","796","3","360","2","299","10",NA,"10238.4407197448"
"797","749","199903","2","202902","19124","0","1","2","45","24","240000","45","6.75","3","2","1","46","6","75200","797","3","360","1","299","10",NA,"47420.9016734861"
"798","700","199903","2","202902","19740","0","1","2","80","34","175000","80","6.75","4","2","1","6","5","80100","798","3","360","2","299","10",NA,"24844.8073538178"
"799","783","199903","2","202902","19124","0","1","2","80","27","142000","80","6.75","4","2","1","46","6","75000","799","3","360","2","299","10",NA,"18723.8440775911"
"800","661","199903","2","202902","38060","0","1","2","80","35","183000","80","6.75","4","2","1","4","5","85200","800","3","360","2","299","10",NA,"38457.4869680984"
"801","696","199903","2","202902","42044","0","1","2","59","46","200000","59","6.75","4","2","1","5","6","92600","801","1","360","2","299","10",NA,"8789.23951188551"
"802","797","199903","2","202902","24580","0","1","2","37","40","57000","37","6.75","4","2","1","51","6","54100","802","2","360","1","299","10",NA,"8381.12763710447"
"803","778","199903","2","202902","41740","0","1","2","79","22","203000","79","6.75","4","2","1","5","6","92100","803","1","360","2","299","10",NA,"28346.894749874"
"804","685","199903","2","202902",NA,"0","1","2","53","23","66000","53","6.875","4","2","1","37","6","44800","804","1","360","1","299","10",NA,"17802.1528351372"
"805","768","199903","2","202902","17660","0","1","2","39","38","40000","39","6.875","4","2","1","15","6","83800","805","1","360","2","299","10",NA,"5655.45850314484"
"806","724","199903","2","202902","19340","0","1","2","67","14","61000","67","6.875","4","2","1","14","6","52800","806","1","360","2","299","10",NA,"7056.95543283233"
"807","725","199903","2","202902","41620","0","1","2","72","35","184000","72","6.5","4","2","1","47","6","84000","807","3","360","2","299","10",NA,"23247.4811226645"
"808","766","199903","2","202902","31700","0","1","2","70","14","124000","70","6.5","4","2","1","32","6","3000","808","1","360","2","299","10",NA,"15136.8547183261"
"809","782","199903","2","202902","33460","0","1","2","48","17","100000","48","6.625","4","2","1","25","6","55300","809","3","360","2","299","10",NA,"16228.7112018156"
"810","723","199903","2","202902","41884","0","1","2","74","28","210000","74","6.625","4","2","1","5","6","94100","810","1","360","2","299","10",NA,"25207.3932581737"
